first_author,title,journal,pub_date,doi,pmid,pmcid,cites,pub_type,source,added,scopus_eid
Liu Z,Potential Reuse of Oncology Drugs in the Treatment of Rare Diseases,Trends in Pharmacological Sciences,2016-10-01,10.1016/j.tips.2016.06.010,27461952,NA,2015_NAR_Kibbe,Journal|Review,scopus,2022-03-17T18:47:55Z,2-s2.0-84979084819
Venkatachalam G,PPARγ disease gene network and identification of therapeutic targets for prostate cancer,Journal of Drug Targeting,2011-11-01,10.3109/1061186X.2011.568062,21780947,NA,2009_BMCG_Osborne|2009_BIX_Du,Journal|Article,scopus,2022-03-17T18:48:46Z,2-s2.0-80054692069
Omura M,"Practical approach for disease similarity calculation based on disease phenotype, etiology, and locational clues in disease names","Proceedings - 2016 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2016",2017-01-17,10.1109/BIBM.2016.7822659,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85013244021
Hadley D,Precision annotation of digital samples in NCBI's gene expression omnibus.,Sci Data,2017-09-19,10.1038/sdata.2017.125,28925997,PMC5604135,2015_NAR_Kibbe|2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Wang Z,Precision omics data integration and analysis with interoperable ontologies and their application for COVID-19 research.,Brief Funct Genomics,2021-07-17,10.1093/bfgp/elab029,34159360,PMC8287950,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Paliwal S,Preclinical validation of therapeutic targets predicted by tensor factorization on heterogeneous graphs.,Sci Rep,2020-10-26,10.1038/s41598-020-74922-z,33106501,PMC7589557,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Breskvar M,Predicting Associations Between Proteins and Multiple Diseases,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2020-01-01,10.1007/978-3-030-59491-6_36,NA,NA,2019_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:47:41Z,2-s2.0-85092099420
Wang Y,Predicting candidate disease-related lncRNAs based on network random walk,"Proceedings - 2018 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2018",2019-01-21,10.1109/BIBM.2018.8621229,NA,NA,2015_NAR_Kibbe,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-85062528280
Yang J,Predicting circRNA-disease associations based on autoencoder and graph embedding,Information Sciences,2021-09-01,10.1016/j.ins.2021.04.073,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85105792820
Wang Y,Predicting circRNA-Disease Associations Based on circRNA Expression Similarity and Functional Similarity.,Front Genet,2019-09-12,10.3389/fgene.2019.00832,31572444,PMC6751509,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Lei X,Predicting circRNA-Disease Associations Based on Improved Collaboration Filtering Recommendation System With Multiple Data.,Front Genet,2019-09-25,10.3389/fgene.2019.00897,31608124,PMC6773885,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zhao E,Predicting Diagnostic Gene Biomarkers Associated With Immune Infiltration in Patients With Acute Myocardial Infarction.,Front Cardiovasc Med,2020-10-23,10.3389/fcvm.2020.586871,33195475,PMC7644926,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Sun K,Predicting disease associations via biological network analysis.,BMC Bioinformatics,2014-09-17,10.1186/1471-2105-15-304,25228247,PMC4174675,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Peng J,Predicting disease-related genes using integrated biomedical networks.,BMC Genomics,2017-01-25,10.1186/s12864-016-3263-4,28198675,PMC5310285,2015_NAR_Kibbe|2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Iwata M,Predicting drug-induced transcriptome responses of a wide range of human cell lines by a novel tensor-train decomposition algorithm.,Bioinformatics,2019-07-15,10.1093/bioinformatics/btz313,31510663,PMC6612872,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Lu C,Predicting human lncRNA-Disease associations based on geometric matrix completion,IEEE Journal of Biomedical and Health Informatics,2020-08-01,10.1109/JBHI.2019.2958389,31825885,NA,2015_NAR_Kibbe|2012_NAR_Schriml,Journal|Article,scopus; ncbi_col-pubmed,2022-03-17T18:47:55Z,2-s2.0-85081950580
Tang X,Predicting lncRNA-disease Association based on Extreme Gradient Boosting,ACM International Conference Proceeding Series,2020-01-19,10.1145/3386052.3386056,NA,NA,2015_NAR_Kibbe,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-85089139022
Lei X,Predicting Metabolite-Disease Associations Based on Linear Neighborhood Similarity with Improved Bipartite Network Projection Algorithm,Complexity,2020-01-01,10.1155/2020/9342640,NA,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85085939630
Lan W,Predicting MicroRNA-Disease Associations Based on Improved MicroRNA and Disease Similarities,IEEE/ACM Transactions on Computational Biology and Bioinformatics,2018-11-01,10.1109/TCBB.2016.2586190,27392365,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85041238374
Lan W,Predicting microRNA-disease associations by integrating multiple biological information,"Proceedings - 2015 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2015",2015-12-16,10.1109/BIBM.2015.7359678,NA,NA,2015_NAR_Kibbe,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-84962449571
Peng W,Predicting microRNA-disease associations by walking on four biological networks,"Proceedings - 2016 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2016",2017-01-17,10.1109/BIBM.2016.7822535,NA,NA,2015_NAR_Kibbe,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-85013230902
Brænne I,Prediction of Causal Candidate Genes in Coronary Artery Disease Loci.,Arterioscler Thromb Vasc Biol,2015-10-01,10.1161/ATVBAHA.115.306108,26293461,PMC4583353,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Trpkovska M,Prediction of children diseases using semantics,"2016 5th Mediterranean Conference on Embedded Computing, MECO 2016 - Including ECyPS 2016, BIOENG.MED 2016, MECO: Student Challenge 2016",2016-07-28,10.1109/MECO.2016.7525777,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-84994104535
Li M,Prediction of circRNA-disease associations based on inductive matrix completion.,BMC Med Genomics,2020-04-03,10.1186/s12920-020-0679-0,32241268,PMC7118830,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Lei X,Prediction of circRNA-disease associations based on multiple biological data,Scientia Sinica Informationis,2021-06-01,10.1360/SSI-2019-0142,NA,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85107285172
Plekhanova E,Prediction of deleterious mutations in coding regions of mammals with transfer learning.,Evol Appl,2018-05-09,10.1111/eva.12607,30622632,PMC6304693,2015_NAR_Kibbe,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Swathi Lakshmi V,Prediction of diabetes patient stage using ontology based machine learning system,"2019 IEEE International Conference on System, Computation, Automation and Networking, ICSCAN 2019",2019-03-01,10.1109/ICSCAN.2019.8878831,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85074749747
Zhang Y,Prediction of disease-associated circRNAs via circRNA–disease pair graph and weighted nuclear norm minimization,Knowledge-Based Systems,2021-02-28,10.1016/j.knosys.2020.106694,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85098726098
Lei X,Prediction of disease-related metabolites using bi-random walks.,PLoS One,2019-11-15,10.1371/journal.pone.0225380,31730648,PMC6857945,2015_NAR_Kibbe,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Wang L,Prediction of lncRNA-disease association based on a Laplace normalized random walk with restart algorithm on heterogeneous networks.,BMC Bioinformatics,2022-01-04,10.1186/s12859-021-04538-1,34983367,PMC8729064,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Fan XN,Prediction of lncRNA-disease associations by integrating diverse heterogeneous information sources with RWR algorithm and positive pointwise mutual information.,BMC Bioinformatics,2019-02-19,10.1186/s12859-019-2675-y,30782113,PMC6381749,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Shinohara K,Preliminary study of ontological process analysis of surgical endoscopy,Advances in Intelligent Systems and Computing,2018-01-01,10.1007/978-3-319-60483-1_47,NA,NA,2009_BMCG_Osborne,Book Series|Conference Paper,scopus,2022-03-17T18:48:46Z,2-s2.0-85023178202
Upadhyaya B,Prenatal Exposure to a Maternal High-Fat Diet Affects Histone Modification of Cardiometabolic Genes in Newborn Rats.,Nutrients,2017-04-20,10.3390/nu9040407,28425976,PMC5409746,2009_BMCG_Osborne|2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Jones P,PRIDE: new developments and new datasets.,Nucleic Acids Res,2008-01-01,10.1093/nar/gkm1021,18033805,PMC2238846,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Hastings J,Primer on ontologies,Methods in Molecular Biology,2017-01-01,10.1007/978-1-4939-3743-1_1,27812931,NA,2015_NAR_Kibbe,Book Series|Book Chapter,scopus,2022-03-17T18:47:55Z,2-s2.0-84994491886
Wang Y,Prioritizing candidate diseases-related metabolites based on literature and functional similarity.,BMC Bioinformatics,2019-11-25,10.1186/s12859-019-3127-4,31760947,PMC6876110,2015_NAR_Kibbe,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Zhang Y,Prioritizing chronic obstructive pulmonary disease (COPD) candidate genes in COPD-related networks.,Oncotarget,2017-10-17,10.18632/oncotarget.21874,29262568,PMC5732734,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Fan C,Prioritizing CircRNA-Disease Associations With Convolutional Neural Network Based on Multiple Similarity Feature Fusion.,Front Genet,2020-09-16,10.3389/fgene.2020.540751,33193615,PMC7525185,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Guo S,Prioritizing complex disease risk genes by integrating multiple data,Genomics,2019-07-01,10.1016/j.ygeno.2018.03.014,29627504,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85045306618
Li X,Prioritizing human cancer microRNAs based on genes' functional consistency between microRNA and cancer.,Nucleic Acids Res,2011-12-01,10.1093/nar/gkr770,21976726,PMC3239203,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Liu X,Prioritizing long range interactions in noncoding regions using GWAS and deletions perturbed TADs.,Comput Struct Biotechnol J,2020-10-21,10.1016/j.csbj.2020.10.014,33209206,PMC7642798,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Failli M,Prioritizing target-disease associations with novel safety and efficacy scoring methods.,Sci Rep,2019-07-08,10.1038/s41598-019-46293-7,31285471,PMC6614395,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Sharma A,PRISM: A Platform for Imaging in Precision Medicine.,JCO Clin Cancer Inform,2020-06-01,10.1200/CCI.20.00001,32479186,PMC7328100,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Fedeli S,Privacy Preserving Survival Prediction,"Proceedings - 2021 IEEE International Conference on Big Data, Big Data 2021",2021-01-01,10.1109/BigData52589.2021.9672036,NA,NA,2015_NAR_Kibbe,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-85125348391
Ling B,Probing the Antitumor Mechanism of <i>Solanum nigrum</i> L. Aqueous Extract against Human Breast Cancer MCF7 Cells.,Bioengineering (Basel),2019-12-11,10.3390/bioengineering6040112,31835887,PMC6955812,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Gherasim T,Problems impacting the quality of automatically built ontologies,CEUR Workshop Proceedings,2012-01-01,NA,NA,NA,2009_BMCG_Osborne,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:46Z,2-s2.0-84910038488
Rak R,Processing biological literature with customizable Web services supporting interoperable formats.,Database (Oxford),2014-07-08,10.1093/database/bau064,25006225,PMC4086403,2012_NAR_Schriml,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Wang CC,Profiling transcriptomes of human SH-SY5Y neuroblastoma cells exposed to maleic acid.,PeerJ,2017-04-05,10.7717/peerj.3175,28392987,PMC5384566,2015_NAR_Kibbe|2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Cun Y,"Prognostic gene signatures for patient stratification in breast cancer: accuracy, stability and interpretability of gene selection approaches using prior knowledge on protein-protein interactions.",BMC Bioinformatics,2012-05-01,10.1186/1471-2105-13-69,22548963,PMC3436770,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Yang MQ,"Promoting inter/multidisciplinary education and research in bioinformatics, systems biology and intelligent computing",International Journal of Computational Biology and Drug Design,2009-01-01,10.1504/IJCBDD.2009.030113,20090160,NA,2009_BMCG_Osborne,Journal|Review,scopus,2022-03-17T18:48:46Z,2-s2.0-77953672202
Ligeti B,Propagation on molecular interaction networks: Prediction of effective drug combinations and biomarkers in cancer treatment,Current Pharmaceutical Design,2017-01-01,10.2174/1381612822666161021162727,27774896,NA,2015_NAR_Kibbe,Journal|Review,scopus,2022-03-17T18:47:55Z,2-s2.0-85013935015
Das B,Protein Interaction Network-based Deep Learning Framework for Identifying Disease-Associated Human Proteins.,J Mol Biol,2021-09-17,10.1016/j.jmb.2021.167149,34271012,NA,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Mørk S,Protein-driven inference of miRNA-disease associations.,Bioinformatics,2014-02-01,10.1093/bioinformatics/btt677,24273243,PMC3904518,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Dingerdissen H,Proteome-wide analysis of nonsynonymous single-nucleotide variations in active sites of human proteins,FEBS Journal,2013-03-01,10.1111/febs.12155,23350563,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-84875346781
Muraoka S,Proteomic Profiling of Extracellular Vesicles Derived from Cerebrospinal Fluid of Alzheimer's Disease Patients: A Pilot Study.,Cells,2020-08-25,10.3390/cells9091959,32854315,PMC7565882,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Mohammed Y,Proteotyping of knockout mouse strains reveals sex- and strain-specific signatures in blood plasma.,NPJ Syst Biol Appl,2021-05-28,10.1038/s41540-021-00184-8,34050187,PMC8163790,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Aguirre-Plans J,Proximal Pathway Enrichment Analysis for Targeting Comorbid Diseases via Network Endopharmacology.,Pharmaceuticals (Basel),2018-06-22,10.3390/ph11030061,29932108,PMC6160959,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Cai Y,Prp19 Is an Independent Prognostic Marker and Promotes Neuroblastoma Metastasis by Regulating the Hippo-YAP Signaling Pathway.,Front Oncol,2020-11-02,10.3389/fonc.2020.575366,33224878,PMC7667276,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Gao J,PSPS: A pharmacological substances prediction system based on biomedical literature data,"2019 IEEE International Conference on Healthcare Informatics, ICHI 2019",2019-06-01,10.1109/ICHI.2019.8904486,NA,NA,2015_NAR_Kibbe,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-85075941274
Davis AP,Public data sources to support systems toxicology applications.,Curr Opin Toxicol,2019-08-01,10.1016/j.cotox.2019.03.002,33604492,PMC7889036,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Kozaki K,Publishing a disease ontologies as linked data,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2014-01-01,10.1007/978-3-319-06826-8_10,NA,NA,2009_BMCG_Osborne,Book Series|Conference Paper,scopus,2022-03-17T18:48:46Z,2-s2.0-84902589471
Luo ZH,"pyMeSHSim: an integrative python package for biomedical named entity recognition, normalization, and comparison of MeSH terms.",BMC Bioinformatics,2020-06-18,10.1186/s12859-020-03583-6,32552728,PMC7301509,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Alghamdi SM,Quantitative evaluation of ontology design patterns for combining pathology and anatomy ontologies.,Sci Rep,2019-03-11,10.1038/s41598-019-40368-1,30858527,PMC6411989,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Buckler AJ,Quantitative imaging biomarker ontology (QIBO) for knowledge representation of biomedical imaging biomarkers.,J Digit Imaging,2013-08-01,10.1007/s10278-013-9599-2,23589184,PMC3705004,2012_NAR_Schriml,Journal Article|Review,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Walsh I,Quantitative profiling of glycans and glycopeptides: an informatics’ perspective,Current Opinion in Structural Biology,2016-10-01,10.1016/j.sbi.2016.07.022,27522273,NA,2015_NAR_Kibbe|2012_NAR_Schriml,Journal|Review,scopus; ncbi_col-pubmed,2022-03-17T18:47:55Z,2-s2.0-84981294946
Vita R,Query enhancement through the practical application of ontology: the IEDB and OBI.,J Biomed Semantics,2013-04-15,10.1186/2041-1480-4-S1-S6,23734660,PMC3633001,2009_BMCG_Osborne,Editorial,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Bertoldi L,QueryOR: a comprehensive web platform for genetic variant analysis and prioritization.,BMC Bioinformatics,2017-04-28,10.1186/s12859-017-1654-4,28454514,PMC5410040,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Horvatovich P,Quest for missing proteins: Update 2015 on chromosome-centric human proteome project,Journal of Proteome Research,2015-09-04,10.1021/pr5013009,26076068,NA,2012_NAR_Schriml,Journal|Review,scopus; ncbi_col-pubmed,2022-03-17T18:48:19Z,2-s2.0-84941094441
Lin R,R-loopBase: a knowledgebase for genome-wide R-loop formation and regulation.,Nucleic Acids Res,2022-01-07,10.1093/nar/gkab1103,34792163,PMC8728142,2019_NAR_Schriml,Journal Article,pubmed; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Qin R,RADAR: Representation Learning across Disease Information Networks for Similar Disease Detection,"Proceedings - 2018 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2018",2019-01-21,10.1109/BIBM.2018.8621436,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85062518436
Le D,Random walk with restart: A powerful network propagation algorithm in Bioinformatics field,"2017 4th NAFOSTED Conference on Information and Computer Science, NICS 2017 - Proceedings",2017-11-14,10.1109/NAFOSTED.2017.8108071,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85043374491
Zhao M,Rare Diseases: Drug Discovery and Informatics Resource,Interdisciplinary Sciences: Computational Life Sciences,2018-03-01,10.1007/s12539-017-0270-3,29094320,NA,2012_NAR_Schriml,Journal|Review,scopus,2022-03-17T18:48:19Z,2-s2.0-85042885949
Joly D,Rare inherited disorders with renal involvement-approach to the patient.,Kidney Int,2015-05-01,10.1038/ki.2014.432,25651365,NA,NA,Journal Article|Review,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Hoyt CT,Re-curation and rational enrichment of knowledge graphs in Biological Expression Language.,Database (Oxford),2019-01-01,10.1093/database/baz068,31225582,PMC6587072,2019_NAR_Schriml,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Bohler A,Reactome from a WikiPathways Perspective.,PLoS Comput Biol,2016-05-20,10.1371/journal.pcbi.1004941,27203685,PMC4874630,2012_NAR_Schriml,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Opap K,Recent advances in predicting gene-disease associations.,F1000Res,2017-04-26,10.12688/f1000research.10788.1,28529714,PMC5414807,2015_NAR_Kibbe|2012_NAR_Schriml,Journal Article|Review,pubmed; scopus,2022-03-17T18:47:32Z,NA
Lin Z,"Recent progress (2015-2020) in the investigation of the pharmacological effects and mechanisms of ginsenoside Rb<sub>1</sub>, a main active ingredient in <i>Panax ginseng</i> Meyer.",J Ginseng Res,2022-01-01,10.1016/j.jgr.2021.07.008,35058726,PMC8753521,NA,Journal Article|Review,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Vasilevsky N,Reclassification of Infectious Disease in the Mondo Disease Ontology,CEUR Workshop Proceedings,2021-01-01,NA,NA,NA,2018_DMM_Bello,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:46Z,2-s2.0-85124429391
Wang Y,Reconfiguring phosphorylation signaling by genetic polymorphisms affects cancer susceptibility,Journal of Molecular Cell Biology,2015-06-01,10.1093/jmcb/mjv013,25722345,NA,2012_NAR_Schriml,Journal|Article,scopus; ncbi_col-pubmed,2022-03-17T18:48:19Z,2-s2.0-84938845610
Mohammadi S,Reconstruction of Cell-type-Specific Interactomes at Single-Cell Resolution.,Cell Syst,2019-12-18,10.1016/j.cels.2019.10.007,31786210,PMC6943823,2018_DMM_Bello,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Jarmusch AK,ReDU: a framework to find and reanalyze public mass spectrometry data.,Nat Methods,2020-09-01,10.1038/s41592-020-0916-7,32807955,PMC7968862,2015_MG_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Dozmorov MG,Reforming disease classification system-are we there yet?,Ann Transl Med,2018-11-01,10.21037/atm.2018.09.36,30613605,PMC6291543,2009_BMCG_Osborne,Comment|Editorial,pubmed; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zhao M,REGene: a literature-based knowledgebase of animal regeneration that bridge tissue regeneration and cancer.,Sci Rep,2016-03-15,10.1038/srep23167,26975833,PMC4791596,2009_BMCG_Osborne|2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Roy M,Regional Diversity in the Postsynaptic Proteome of the Mouse Brain.,Proteomes,2018-08-01,10.3390/proteomes6030031,30071621,PMC6161190,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Canino G,Relating clinical diagnosis and biological analytes via EMRs Clustering,"Proceedings - 2014 IEEE International Conference on Healthcare Informatics, ICHI 2014",2014-03-02,10.1109/ICHI.2014.51,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-84949924171
Ni P,Relating diseases based on disease module theory,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2017-01-01,10.1007/978-3-319-59575-7_3,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85020732858
Hamaneh MB,Relating diseases by integrating gene associations and information flow through protein interaction network.,PLoS One,2014-10-31,10.1371/journal.pone.0110936,25360770,PMC4216010,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Shingjergji K,"Relation extraction from DailyMed structured product labels by optimally combining crowd, experts and machines",Journal of Biomedical Informatics,2021-10-01,10.1016/j.jbi.2021.103902,34481057,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85115216391
Biswas S,Relation Prediction of Co-Morbid Diseases Using Knowledge Graph Completion,IEEE/ACM Transactions on Computational Biology and Bioinformatics,2021-03-01,10.1109/TCBB.2019.2927310,31295118,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85104047643
Lei X,Relational completion based non-negative matrix factorization for predicting metabolite-disease associations,Knowledge-Based Systems,2020-09-27,10.1016/j.knosys.2020.106238,NA,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85087922377
Zanzoni A,"Relationships between predicted moonlighting proteins, human diseases, and comorbidities from a network perspective.",Front Physiol,2015-06-23,10.3389/fphys.2015.00171,26157390,PMC4477069,2012_NAR_Schriml|2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Husáková M,Representation of autoimmune diseases with RDFS,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2018-01-01,10.1007/978-3-319-98443-8_5,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85053200319
Asada M,Representing a Heterogeneous Pharmaceutical Knowledge-Graph with Textual Information.,Front Res Metr Anal,2021-07-01,10.3389/frma.2021.670206,34278204,PMC8281808,2012_NAR_Schriml,Journal Article,pubmed; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Le May S,Representing and querying space object registration data using graph databases,Acta Astronautica,2020-08-01,10.1016/j.actaastro.2020.04.056,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85084374354
Gourdine JF,Representing glycophenotypes: semantic unification of glycobiology resources for disease discovery.,Database (Oxford),2019-01-01,10.1093/database/baz114,31735951,PMC6859258,2019_NAR_Schriml,Journal Article|Review,pubmed; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Johnston TH,Repurposing drugs to treat L-DOPA-induced dyskinesia in Parkinson's disease,Neuropharmacology,2019-03-15,10.1016/j.neuropharm.2018.05.035,29907424,NA,2015_NAR_Kibbe,Journal|Review,scopus,2022-03-17T18:47:55Z,2-s2.0-85062118709
Abed A,Research on adoption of gene-disease identification and recognition phenotype process in High-Performance Computing and Applications (HPCA) research,"Proceedings - 21st IEEE International Conference on High Performance Computing and Communications, 17th IEEE International Conference on Smart City and 5th IEEE International Conference on Data Science and Systems, HPCC/SmartCity/DSS 2019",2019-08-01,10.1109/HPCC/SmartCity/DSS.2019.00047,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85073523254
McGarry K,RESKO: Repositioning drugs by using side effects and knowledge from ontologies,Knowledge-Based Systems,2018-11-15,10.1016/j.knosys.2018.06.017,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85049759191
