ICDO3.2	Level	Term	Code reference	obs	See also	See note	Includes	Excludes	Other text
9560/0	Related	Degenerated schwannoma	NA	NA	NA	NA	NA	NA	NA
9560/0	Related	Plexiform schwannoma	NA	NA	NA	NA	NA	NA	NA
9560/0	Related	Psammomatous schwannoma	NA	NA	NA	NA	NA	NA	NA
9560/1	Preferred	Melanotic schwannoma	NA	NA	NA	NA	NA	NA	NA
9560/1	Synonym	Pigmented schwannoma	NA	NA	NA	NA	NA	NA	NA
9560/3	Preferred	Neurilemoma, malignant	NA	[obs]	NA	NA	NA	NA	NA
9560/3	Synonym	Malignant schwannoma, NOS	NA	[obs]	NA	NA	NA	NA	NA
9560/3	Synonym	Neurilemosarcoma	NA	[obs]	NA	NA	NA	NA	NA
9561/3	Preferred	Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation	NA	NA	NA	NA	NA	NA	NA
9561/3	Synonym	Malignant schwannoma with rhabdomyoblastic differentiation	NA	NA	NA	NA	NA	NA	NA
9561/3	Synonym	MPNST with rhabdomyoblastic differentiation	NA	NA	NA	NA	NA	NA	NA
9561/3	Synonym	Triton tumor, malignant	NA	NA	NA	NA	NA	NA	NA
9562/0	Preferred	Nerve sheath myxoma	NA	NA	NA	NA	NA	NA	NA
9562/0	Synonym	Neurothekeoma	NA	NA	NA	NA	NA	NA	NA
9562/0	Related	Cellular neurothekeoma	NA	NA	NA	NA	NA	NA	NA
9563/0	Preferred	Nerve sheath tumor, NOS	NA	NA	NA	NA	NA	NA	NA
9563/0	Related	Hybrid nerve sheath tumor	NA	NA	NA	NA	NA	NA	NA
9570/0	Preferred	Neuroma, NOS	NA	NA	NA	NA	NA	NA	NA
9570/0	Related	Solitary circumscribed neuroma	NA	NA	NA	NA	NA	NA	NA
9571/0	Preferred	Perineurioma, NOS	NA	NA	NA	NA	NA	NA	NA
9571/0	Related	Intraneural perineurioma	NA	NA	NA	NA	NA	NA	NA
9571/0	Related	Soft tissue perineurioma	NA	NA	NA	NA	NA	NA	NA
9571/3	Preferred	Perineurioma, malignant	NA	NA	NA	NA	NA	NA	NA
958	2	Granular cell tumors and alveolar soft part sarcomas	NA	NA	NA	NA	NA	NA	NA
9580/0	Preferred	Granular cell tumor, NOS	NA	NA	NA	NA	NA	(except of sellar region M-9582/0)	NA
9580/0	Synonym	Granular cell myoblastoma, NOS	NA	[obs]	NA	NA	NA	NA	NA
9580/3	Preferred	Granular cell tumor, malignant	NA	NA	NA	NA	NA	NA	NA
9580/3	Synonym	Granular cell myoblastoma, malignant	NA	[obs]	NA	NA	NA	NA	NA
9581/3	Preferred	Alveolar soft part sarcoma	NA	NA	NA	NA	NA	NA	NA
9582/0	Preferred	Granular cell tumor of sellar region	(C75.1)	NA	NA	NA	NA	NA	NA
959-972	2	Hodgkin and non-Hodgkin lymphomas	NA	NA	NA	NA	NA	NA	NA
959	3	Malignant lymphomas, NOS or diffuse	NA	NA	NA	NA	NA	NA	NA
9590/3	Preferred	Malignant lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9590/3	Synonym	Lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9590/3	Synonym	Microglioma	(C71._)	[obs]	NA	NA	NA	NA	NA
9591/1	Preferred	Monoclonal B-cell lymphocytosis, NOS	NA	NA	(see also M-9823/1)	NA	NA	NA	NA
9591/1	Related	Monoclonal B-cell lymphocytosis, non-CLL type	NA	NA	NA	NA	NA	NA	NA
9591/3	Preferred	Malignant lymphoma, non-Hodgkin, NOS	NA	NA	NA	NA	NA	NA	NA
9591/3	Synonym	Non-Hodgkin lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9591/3	Related	B-cell lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9591/3	Related	Lymphosarcoma, NOS	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Synonym	Lymphosarcoma, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Related	Malignant lymphoma, diffuse, NOS	NA	NA	NA	NA	NA	NA	NA
9591/3	Related	Malignant lymphoma, non-cleaved cell, NOS	NA	NA	NA	NA	NA	NA	NA
9591/3	Related	Reticulum cell sarcoma, NOS	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Synonym	Reticulosarcoma, NOS	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Synonym	Reticulum cell sarcoma, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Synonym	Reticulosarcoma, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Related	Hairy cell leukemia variant	NA	NA	NA	NA	NA	NA	NA
9591/3	Related	Malignant lymphoma, lymphocytic, intermediate differentiation, nodular	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Related	Malignant lymphoma, lymphocytic, poorly differentiated, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Synonym	Malignant lymphoma, cleaved cell, NOS	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Synonym	Malignant lymphoma, small cleaved cell, NOS	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Related	Malignant lymphoma, small cell, noncleaved, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Synonym	Malignant lymphoma, undifferentiated cell type, NOS	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Synonym	Malignant lymphoma, undifferentiated cell, non-Burkitt	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Related	Malignant lymphoma, small cleaved cell, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9591/3	Related	Splenic B-cell lymphoma/leukemia, unclassifiable	NA	NA	NA	NA	NA	NA	NA
9591/3	Related	Splenic diffuse red pulp small B-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9596/3	Preferred	Composite Hodgkin and non-Hodgkin lymphoma	NA	NA	NA	NA	NA	NA	NA
9596/3	Related	B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and classical Hodgkin lymphoma	NA	NA	NA	NA	NA	NA	NA
9597/3	Preferred	Primary cutaneous follicle center lymphoma	(C44._)	NA	NA	NA	NA	NA	NA
965-966	3	Hodgkin lymphomas	NA	NA	NA	NA	NA	NA	NA
9650/3	Preferred	Hodgkin lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9650/3	Synonym	Hodgkin disease, NOS	NA	NA	NA	NA	NA	NA	NA
9650/3	Synonym	Malignant lymphoma, Hodgkin	NA	NA	NA	NA	NA	NA	NA
9650/3	Related	Classical Hodgkin lymphoma post-transplant lymphoproliferative disease	NA	NA	NA	NA	NA	NA	NA
9651/3	Preferred	Hodgkin lymphoma, lymphocyte-rich	NA	NA	NA	NA	NA	NA	NA
9651/3	Synonym	Classical Hodgkin lymphoma, lymphocyte-rich	NA	NA	NA	NA	NA	NA	NA
9651/3	Related	Hodgkin disease, lymphocyte predominance, NOS	NA	[obs]	NA	NA	NA	NA	NA
9651/3	Synonym	Hodgkin disease, lymphocyte predominance, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9651/3	Synonym	Hodgkin disease, lymphocytic-histiocytic predominance	NA	[obs]	NA	NA	NA	NA	NA
9652/3	Preferred	Hodgkin lymphoma, mixed cellularity, NOS	NA	NA	NA	NA	NA	NA	NA
9652/3	Synonym	Classical Hodgkin lymphoma, mixed cellularity, NOS	NA	NA	NA	NA	NA	NA	NA
9653/3	Preferred	Hodgkin lymphoma, lymphocyte depletion, NOS	NA	NA	NA	NA	NA	NA	NA
9653/3	Synonym	Classical Hodgkin lymphoma, lymphocyte depletion, NOS	NA	NA	NA	NA	NA	NA	NA
9654/3	Preferred	Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis	NA	NA	NA	NA	NA	NA	NA
9654/3	Synonym	Classical Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis	NA	[obs]	NA	NA	NA	NA	NA
9655/3	Preferred	Hodgkin lymphoma, lymphocyte depletion, reticular	NA	[obs]	NA	NA	NA	NA	NA
9655/3	Synonym	Classical Hodgkin lymphoma, lymphocyte depletion, reticular	NA	[obs]	NA	NA	NA	NA	NA
9659/3	Preferred	Hodgkin lymphoma, nodular lymphocyte predominant	NA	NA	NA	NA	NA	NA	NA
9659/3	Synonym	Hodgkin paragranuloma, NOS	NA	[obs]	NA	NA	NA	NA	NA
9659/3	Synonym	Hodgkin paragranuloma, nodular	NA	[obs]	NA	NA	NA	NA	NA
9661/3	Preferred	Hodgkin granuloma	NA	[obs]	NA	NA	NA	NA	NA
9662/3	Preferred	Hodgkin sarcoma	NA	[obs]	NA	NA	NA	NA	NA
9663/3	Preferred	Hodgkin lymphoma, nodular sclerosis, NOS	NA	NA	NA	NA	NA	NA	NA
9663/3	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, NOS	NA	NA	NA	NA	NA	NA	NA
9663/3	Synonym	Hodgkin disease, nodular sclerosis, NOS	NA	NA	NA	NA	NA	NA	NA
9664/3	Preferred	Hodgkin lymphoma, nodular sclerosis, cellular phase	NA	NA	NA	NA	NA	NA	NA
9664/3	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, cellular phase	NA	[obs]	NA	NA	NA	NA	NA
9665/3	Preferred	Hodgkin lymphoma, nodular sclerosis, grade 1	NA	NA	NA	NA	NA	NA	NA
9665/3	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, grade 1	NA	NA	NA	NA	NA	NA	NA
9665/3	Synonym	Hodgkin disease, nodular sclerosis, lymphocyte predominance	NA	NA	NA	NA	NA	NA	NA
9665/3	Synonym	Hodgkin disease, nodular sclerosis, mixed cellularity	NA	NA	NA	NA	NA	NA	NA
9667/3	Preferred	Hodgkin lymphoma, nodular sclerosis, grade 2	NA	NA	NA	NA	NA	NA	NA
9667/3	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, grade 2	NA	NA	NA	NA	NA	NA	NA
9667/3	Synonym	Hodgkin disease, nodular sclerosis, lymphocyte depletion	NA	NA	NA	NA	NA	NA	NA
9667/3	Synonym	Hodgkin disease, nodular sclerosis, syncytial variant	NA	NA	NA	NA	NA	NA	NA
967-972	3	Non-hodgkin lymphomas	NA	NA	NA	NA	NA	NA	NA
967-969	3	Mature B-cell lymphomas	NA	NA	NA	NA	NA	NA	NA
9671/3	Preferred	Lymphoplasmacytic lymphoma	NA	NA	(see also M-9761/3)	NA	NA	NA	NA
9671/3	Synonym	Malignant lymphoma, lymphoplasmacytoid	NA	NA	NA	NA	NA	NA	NA
9671/3	Related	Immunocytoma	NA	[obs]	NA	NA	NA	NA	NA
9671/3	Related	Malignant lymphoma, plasmacytoid	NA	[obs]	NA	NA	NA	NA	NA
9671/3	Related	Plasmacytic lymphoma	NA	[obs]	NA	NA	NA	NA	NA
9673/1	Preferred	In situ mantle cell neoplasia	NA	NA	NA	NA	NA	NA	NA
9673/1	Synonym	In situ mantle cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9673/3	Preferred	Mantle cell lymphoma	NA	NA	NA	NA	includes all variants	NA	NA
9673/3	Synonym	Malignant lymphoma, centrocytic	NA	[obs]	NA	NA	NA	NA	NA
9673/3	Synonym	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9673/3	Synonym	Malignant lymphomatous polyposis	NA	NA	NA	NA	NA	NA	NA
9673/3	Synonym	Mantle zone lymphoma	NA	[obs]	NA	NA	NA	NA	NA
9675/3	Preferred	Malignant lymphoma, mixed small and large cell, diffuse	NA	[obs]	(see also M-9690/3)	NA	NA	NA	NA
9675/3	Synonym	Malignant lymphoma, centroblastic-centrocytic, NOS	NA	[obs]	NA	NA	NA	NA	NA
9675/3	Synonym	Malignant lymphoma, centroblastic-centrocytic, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9675/3	Synonym	Malignant lymphoma, mixed cell type, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9675/3	Synonym	Malignant lymphoma, mixed lymphocytic-histiocytic, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9678/3	Preferred	Primary effusion lymphoma	NA	NA	NA	NA	NA	NA	NA
9679/3	Preferred	Mediastinal large B-cell lymphoma	(C38.3)	NA	NA	NA	NA	NA	NA
9679/3	Synonym	Thymic large B-cell lymphoma	(C37.9)	NA	NA	NA	NA	NA	NA
9680/1	Preferred	EBV positive mucocutaneous ulcer	NA	NA	NA	NA	NA	NA	NA
9680/3	Preferred	Diffuse large B-cell lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, large B-cell, diffuse, NOS	NA	NA	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, histiocytic, NOS	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, large B-cell, NOS	NA	NA	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, large B-cell, diffuse, centroblastic, NOS	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, large cell, NOS	NA	NA	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, large cell, cleaved, NOS	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, large cell, diffuse, NOS	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, large cell, noncleaved, NOS	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, noncleaved, NOS	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, noncleaved, diffuse, NOS	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, histiocytic, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, large cell, cleaved and noncleaved	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, large cell, cleaved, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Synonym	Malignant lymphoma, large cell, noncleaved, diffuse	NA	NA	NA	NA	NA	NA	NA
9680/3	Related	Malignant lymphoma, centroblastic, NOS	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Related	Diffuse large B-cell lymphoma, germinal center B-cell subtype	NA	NA	NA	NA	NA	NA	NA
9680/3	Related	Diffuse large B-cell lymphoma, activated B-cell subtype	NA	NA	NA	NA	NA	NA	NA
9680/3	Related	Malignant lymphoma, centroblastic, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9680/3	Related	Anaplastic large B-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9680/3	Related	B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and Burkitt lymphoma	NA	NA	NA	NA	NA	NA	NA
9680/3	Related	Diffuse large B-cell lymphoma associated with chronic inflammation	NA	NA	NA	NA	NA	NA	NA
9680/3	Related	EBV positive diffuse large B-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9680/3	Related	Primary cutaneous diffuse large B-cell lymphoma, leg type	(C44.7)	NA	NA	NA	NA	NA	NA
9680/3	Related	Primary diffuse large B-cell lymphoma of CNS	(C70._, C71._, C72._)	NA	NA	NA	NA	NA	NA
9680/3	Related	High grade B-cell lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9680/3	Related	High grade B-cell lymphoma with MYC and BCL2 and/or BCL6 rearrangements	NA	NA	NA	NA	NA	NA	NA
9680/3	Related	Vitreoretinal lymphoma	(C69._)	NA	NA	NA	NA	NA	NA
9684/3	Preferred	Malignant lymphoma, large B-cell, diffuse, immunoblastic, NOS	NA	NA	NA	NA	NA	NA	NA
9684/3	Synonym	Malignant lymphoma, immunoblastic, NOS	NA	NA	NA	NA	NA	NA	NA
9684/3	Synonym	Immunoblastic sarcoma	NA	[obs]	NA	NA	NA	NA	NA
9684/3	Synonym	Malignant lymphoma, large cell, immunoblastic	NA	NA	NA	NA	NA	NA	NA
9687/3	Preferred	Burkitt lymphoma, NOS	NA	NA	NA	NA	includes all variants	NA	NA
9687/3	Synonym	Burkitt tumor	NA	[obs]	NA	NA	NA	NA	NA
9687/3	Synonym	Malignant lymphoma, small noncleaved, Burkitt type	NA	[obs]	NA	NA	NA	NA	NA
9687/3	Synonym	Malignant lymphoma, undifferentiated, Burkitt type	NA	[obs]	NA	NA	NA	NA	NA
9687/3	Related	Burkitt-like lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9687/3	Related	Burkitt-like lymphoma with 11q aberration	NA	NA	NA	NA	NA	NA	NA
9687/3	Synonym	Burkitt cell leukemia	NA	NA	NA	NA	NA	NA	NA
9687/3	Synonym	Acute leukemia, Burkitt type	NA	[obs]	NA	NA	NA	NA	NA
9687/3	Synonym	Acute lymphoblastic leukemia, mature B-cell type	NA	NA	NA	NA	NA	NA	NA
9687/3	Synonym	B-ALL	NA	[obs]	NA	NA	NA	NA	NA
9687/3	Synonym	FAB L3	NA	[obs]	NA	NA	NA	NA	NA
9688/3	Preferred	T-cell/histiocyte rich large B-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9688/3	Synonym	T-cell rich large B-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9688/3	Synonym	Histiocyte-rich large B-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9689/3	Preferred	Splenic marginal zone B-cell lymphoma	(C42.2)	NA	NA	NA	NA	NA	NA
9689/3	Synonym	Splenic marginal zone lymphoma, NOS	(C42.2)	NA	NA	NA	NA	NA	NA
9689/3	Synonym	Splenic lymphoma with villous lymphocytes	(C42.2)	NA	NA	NA	NA	NA	NA
9690/3	Preferred	Follicular lymphoma, NOS	NA	NA	(see also M-9675/3)	NA	NA	NA	NA
9690/3	Synonym	Malignant lymphoma, follicle center, NOS	NA	[obs]	NA	NA	NA	NA	NA
9690/3	Synonym	Malignant lymphoma, follicular, NOS	NA	NA	NA	NA	NA	NA	NA
9690/3	Synonym	Malignant lymphoma, lymphocytic, nodular, NOS	NA	[obs]	NA	NA	NA	NA	NA
9690/3	Synonym	Malignant lymphoma, nodular, NOS	NA	[obs]	NA	NA	NA	NA	NA
9690/3	Synonym	Malignant lymphoma, centroblastic-centrocytic, follicular	NA	[obs]	NA	NA	NA	NA	NA
9690/3	Synonym	Malignant lymphoma, follicle center, follicular	NA	[obs]	NA	NA	NA	NA	NA
9690/3	Related	Follicular lymphoma, pediatric type	NA	NA	NA	NA	NA	NA	NA
9691/3	Preferred	Follicular lymphoma, grade 2	NA	NA	NA	NA	NA	NA	NA
9691/3	Synonym	Malignant lymphoma, mixed cell type, follicular	NA	[obs]	NA	NA	NA	NA	NA
9691/3	Synonym	Malignant lymphoma, mixed cell type, nodular	NA	[obs]	NA	NA	NA	NA	NA
9691/3	Synonym	Malignant lymphoma, mixed lymphocytic-histiocytic, nodular	NA	[obs]	NA	NA	NA	NA	NA
9691/3	Synonym	Malignant lymphoma, mixed small cleaved and large cell, follicular	NA	[obs]	NA	NA	NA	NA	NA
9695/1	Preferred	In situ follicular neoplasia	NA	NA	NA	NA	NA	NA	NA
9695/1	Synonym	In situ follicular lymphoma	NA	NA	NA	NA	NA	NA	NA
9695/3	Preferred	Follicular lymphoma, grade 1	NA	NA	NA	NA	NA	NA	NA
9695/3	Synonym	Follicular lymphoma, small cleaved cell	NA	[obs]	NA	NA	NA	NA	NA
9695/3	Synonym	Malignant lymphoma, lymphocytic, poorly differentiated, nodular	NA	[obs]	NA	NA	NA	NA	NA
9695/3	Synonym	Malignant lymphoma, small cleaved cell, follicular	NA	[obs]	NA	NA	NA	NA	NA
9695/3	Related	Follicular lymphoma, duodenal type	(C17.0)	NA	NA	NA	NA	NA	NA
9698/3	Preferred	Follicular lymphoma, grade 3	NA	NA	NA	NA	NA	NA	NA
9698/3	Synonym	Malignant lymphoma, large cell, follicular, NOS	NA	[obs]	NA	NA	NA	NA	NA
9698/3	Synonym	Malignant lymphoma, noncleaved cell, follicular, NOS	NA	[obs]	NA	NA	NA	NA	NA
9698/3	Synonym	Follicular lymphoma, grade 3A	NA	NA	NA	NA	NA	NA	NA
9698/3	Synonym	Follicular lymphoma, grade 3B	NA	NA	NA	NA	NA	NA	NA
9698/3	Synonym	Malignant lymphoma, centroblastic, follicular	NA	[obs]	NA	NA	NA	NA	NA
9698/3	Synonym	Malignant lymphoma, histiocytic, nodular	NA	[obs]	NA	NA	NA	NA	NA
9698/3	Synonym	Malignant lymphoma, large cell, noncleaved, follicular	NA	[obs]	NA	NA	NA	NA	NA
9698/3	Synonym	Malignant lymphoma, large cleaved cell, follicular	NA	[obs]	NA	NA	NA	NA	NA
9698/3	Synonym	Malignant lymphoma, lymphocytic, well differentiated, nodular	NA	[obs]	NA	NA	NA	NA	NA
9698/3	Related	Large B-cell lymphoma with IRF4 rearrangement	NA	NA	NA	NA	NA	NA	NA
9699/3	Preferred	Marginal zone B-cell lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9699/3	Synonym	Marginal zone lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9699/3	Synonym	BALT lymphoma	NA	NA	NA	NA	NA	NA	NA
9699/3	Synonym	Bronchus-associated lymphoid tissue lymphoma	NA	NA	NA	NA	NA	NA	NA
9699/3	Synonym	MALT lymphoma	NA	NA	NA	NA	NA	NA	NA
9699/3	Synonym	Monocytoid B-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9699/3	Synonym	Mucosa-associated lymphoid tissue lymphoma	NA	NA	NA	NA	NA	NA	NA
9699/3	Synonym	Nodal marginal zone lymphoma	NA	NA	NA	NA	NA	NA	NA
9699/3	Synonym	SALT lymphoma	NA	NA	NA	NA	NA	NA	NA
9699/3	Synonym	Skin-associated lymphoid tissue lymphoma	NA	NA	NA	NA	NA	NA	NA
9699/3	Related	Extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue	NA	NA	NA	NA	NA	NA	NA
9699/3	Related	Primary choroidal lymphoma	(C69.3)	NA	NA	NA	NA	NA	NA
970-971	3	Mature T- and NK-cell lymphomas	NA	NA	NA	NA	NA	NA	NA
9700/3	Preferred	Mycosis fungoides	(C44._)	NA	NA	NA	NA	NA	NA
9700/3	Synonym	Pagetoid reticulosis	NA	NA	NA	NA	NA	NA	NA
9700/3	Related	Granulomatous slack skin	(C44._)	NA	NA	NA	NA	NA	NA
9701/3	Preferred	Sezary syndrome	NA	NA	NA	NA	NA	NA	NA
9701/3	Synonym	Sezary disease	NA	NA	NA	NA	NA	NA	NA
9702/1	Preferred	Indolent T-cell lymphoproliferative disorder of gastrointestinal tract	NA	NA	NA	NA	NA	NA	NA
9702/3	Preferred	Mature T-cell lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9702/3	Synonym	Peripheral T-cell lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9702/3	Synonym	T-cell lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9702/3	Synonym	Peripheral T-cell lymphoma, large cell	NA	NA	NA	NA	NA	NA	NA
9702/3	Synonym	Peripheral T-cell lymphoma, pleomorphic medium and large cell	NA	NA	NA	NA	NA	NA	NA
9702/3	Synonym	Peripheral T-cell lymphoma, pleomorphic small cell	NA	NA	NA	NA	NA	NA	NA
9702/3	Synonym	T-zone lymphoma	NA	NA	NA	NA	NA	NA	NA
9702/3	Related	Lymphoepithelioid lymphoma	NA	NA	NA	NA	NA	NA	NA
9702/3	Synonym	Lennert lymphoma	NA	NA	NA	NA	NA	NA	NA
9702/3	Related	Follicular T-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9702/3	Related	Nodal peripheral T-cell lymphoma with T follicular helper phenotype	NA	NA	NA	NA	NA	NA	NA
9705/3	Preferred	Angioimmunoblastic T-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9705/3	Synonym	Angioimmunoblastic lymphoma	NA	[obs]	NA	NA	NA	NA	NA
9705/3	Synonym	Peripheral T-cell lymphoma, AILD (Angioimmunoblastic Lymphadenopathy with Dysproteinemia)	NA	[obs]	NA	NA	NA	NA	NA
9708/3	Preferred	Subcutaneous panniculitis-like T-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9709/1	Preferred	Primary cutaneous CD4 positive small/medium T-cell lymphoproliferative disorder	(C44._)	NA	NA	NA	NA	NA	NA
9709/1	Related	Primary cutaneous CD4 positive small/medium T-cell lymphoma	(C44._)	[obs]	NA	NA	NA	NA	NA
9709/3	Preferred	Cutaneous T-cell lymphoma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
9709/3	Synonym	Cutaneous lymphoma, NOS	(C44._)	[obs]	NA	NA	NA	NA	NA
9709/3	Related	Primary cutaneous CD8 positive aggressive epidermotropic cytotoxic T-cell lymphoma	(C44._)	NA	NA	NA	NA	NA	NA
9709/3	Related	Primary cutaneous acral CD8 positive T-cell lymphoma	(C44._)	NA	NA	NA	NA	NA	NA
9712/3	Preferred	Intravascular large B-cell lymphoma	(C49.9)	NA	NA	NA	NA	NA	NA
9712/3	Synonym	Intravascular B-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9712/3	Synonym	Angioendotheliomatosis	NA	NA	NA	NA	NA	NA	NA
9712/3	Synonym	Angiotropic lymphoma	NA	NA	NA	NA	NA	NA	NA
9714/3	Preferred	Anaplastic large cell lymphoma, T-cell and Null-cell type	NA	NA	NA	NA	NA	NA	NA
9714/3	Synonym	Large cell (Ki-1 positive) lymphoma	NA	[obs]	NA	NA	NA	NA	NA
9714/3	Related	Anaplastic large cell lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9714/3	Synonym	Anaplastic large cell lymphoma, CD30 positive	NA	NA	NA	NA	NA	NA	NA
9714/3	Related	Anaplastic large cell lymphoma, ALK positive	NA	NA	NA	NA	NA	NA	NA
9715/3	Preferred	Anaplastic large cell lymphoma, ALK negative	NA	NA	NA	NA	NA	NA	NA
9715/3	Related	Breast implant-associated anaplastic large cell lymphoma	(C50._)	NA	NA	NA	NA	NA	NA
9716/3	Preferred	Hepatosplenic T-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9716/3	Synonym	Hepatosplenic gamma-delta cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9717/3	Preferred	Intestinal T-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9717/3	Synonym	Enteropathy-associated T-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9717/3	Synonym	Enteropathy type intestinal T-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9717/3	Related	Monomorphic epitheliotropic intestinal T-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9718/1	Preferred	Primary cutaneous CD30 positive T-cell lymphoproliferative disorder	(C44._)	NA	NA	NA	NA	NA	NA
9718/1	Synonym	Lymphomatoid papulosis	(C44._)	NA	NA	NA	NA	NA	NA
9718/3	Preferred	Primary cutaneous anaplastic large cell lymphoma	(C44._)	NA	NA	NA	NA	NA	NA
9718/3	Synonym	Primary cutaneous CD30 positive large T-cell lymphoma	(C44._)	NA	NA	NA	NA	NA	NA
9719/3	Preferred	NK/T-cell lymphoma, nasal and nasal type	NA	NA	NA	NA	NA	NA	NA
9719/3	Synonym	Malignant reticulosis, NOS	NA	[obs]	NA	NA	NA	NA	NA
9719/3	Synonym	Angiocentric T-cell lymphoma	NA	[obs]	NA	NA	NA	NA	NA
9719/3	Synonym	Extranodal NK/T-cell lymphoma, nasal type	NA	NA	NA	NA	NA	NA	NA
9719/3	Synonym	Malignant midline reticulosis	NA	[obs]	NA	NA	NA	NA	NA
9719/3	Synonym	Polymorphic reticulosis	NA	[obs]	NA	NA	NA	NA	NA
9719/3	Synonym	T/NK-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
972	3	Precursor cell lymphoblastic lymphomas	NA	NA	NA	NA	NA	NA	NA
9724/3	Preferred	Systemic EBV positive T-cell lymphoproliferative disease of childhood	NA	NA	NA	NA	NA	NA	NA
